Afrikaans|南非语|af
Albanian|阿尔巴尼亚语|sq
Amharic |阿姆哈拉语|am
Arabic|阿拉伯语|ar
Armenian|亚美尼亚语|hy_AM
Azerbaijani|阿塞拜疆语|az_AZ
Bangla|孟加拉语|bn_BD
Basque|巴士克语|eu_ES
Belarusian|白俄罗斯语|be
Bulgarian|保加利亚语|bg
Burmese|缅甸语|my_MM
Catalan|加泰罗语|ca
Chinese (Hong Kong)|中文(香港)|zh_HK
Chinese (Simplified)|中文(简体)|zh_CN
Chinese (Traditional)|中文(繁体)|zh_TW
Croatian|克罗地亚语|hr
Czech|捷克语|cs_CZ
Danish|丹麦语|da_DK
Dutch|荷兰语|nl_NL
Estonian|爱沙尼亚语|et
#Filipino|菲律宾语|fil
Finnish|芬兰语|fi_FI
French (Canada)|法语(加拿大)|fr_CA
French (France)|法语(法国)|fr_FR
Galician|加里西亚语|gl_ES
Georgian|格鲁吉亚语|ka_GE
German|德语|de_DE
Greek|希腊语|el_GR
Gujarati|古吉拉特语|gu
Hebrew|希伯来语|he_IL
Hindi|印地语|hi_IN
Hungarian|匈牙利语|hu_HU
Icelandic|冰岛语|is_IS
Indonesian|印度尼西亚语|id
Italian|意大利语|it_IT
Japanese|日语|ja_JP
Kannada|卡纳拉语|kn_IN
Kazakh|哈萨克语|kk
Khmer|高棉语|km-KH
Korean|朝鲜语|ko_KR
Kyrgyz |吉尔吉斯语|ky_KG
Lao|老挝语|lo-LA
Latvian|拉脱维亚语|lv
Lithuanian|立陶宛语|lt
Macedonian|马其顿语|mk_MK
Malay (Malaysia)|马来语(马来西亚)|ms_MY
Malay|马来语|ms
Malayalam|马拉雅拉姆语|ml_IN
Marathi|马拉地语|mr_IN
Mongolian|蒙古语|mn_MN
Nepali|尼泊尔语|ne_NP
Norwegian|挪威语|nb_NO
Persian|波斯语|fa
Polish|波兰语|pl_PL
Portuguese (Brazil)|葡萄牙语(巴西)|pt_BR
Portuguese (Portugal)|葡萄牙语(葡萄牙)|pt_PT
Punjabi|旁遮普语|pa
Romanian|罗马尼亚语|ro
Russian|俄语|ru_RU
Serbian|塞尔维亚语|sr
Sinhala|僧伽罗语|si_LK
Slovak|斯洛伐克语|sk
Slovenian|斯洛文尼亚语|sl
#Spanish (Latin America)|西班牙语(拉美)|es_419
Spanish (Spain)|西班牙语(西班牙)|es_ES
Spanish (United States)|西班牙语(美国)|es_US
Swahili|斯瓦希里语|sw
Swedish|瑞典语|sv_SE
Tagalog|塔加路语|tl
Tamil|泰米尔语|ta_IN
Telugu|泰卢固语|te_IN
Thai|泰语|th
Turkish|土耳其语|tr_TR
Ukrainian|乌克兰语|uk
Urdu|乌尔都语|ur
Vietnamese|越南语|vi
Zulu|祖鲁语|zu
